PROBABILIDAD;DEPARTAMENTO;MUNICIPIO;CODMUNI;FECHA;REGION
5;NORTE DE SANTANDER;Mutiscua;54480;20/05/2020;ANDINA
5;MAGDALENA;Sitionuevo;47745;20/05/2020;CARIBE
4;ATLÁNTICO;Puerto Colombia;8573;20/05/2020;CARIBE
4;NORTE DE SANTANDER;Ragonvalia;54599;20/05/2020;ANDINA
4;NORTE DE SANTANDER;Chinácota;54172;20/05/2020;ANDINA
4;NORTE DE SANTANDER;Bochalema;54099;20/05/2020;ANDINA
4;NORTE DE SANTANDER;Durania;54239;20/05/2020;ANDINA
4;NORTE DE SANTANDER;Los Patios;54405;20/05/2020;ANDINA
4;NORTE DE SANTANDER;Villa Del Rosario;54874;20/05/2020;ANDINA
4;NORTE DE SANTANDER;San Cayetano;54673;20/05/2020;ANDINA
4;NORTE DE SANTANDER;Cúcuta;54001;20/05/2020;ANDINA
4;NORTE DE SANTANDER;Bucarasica;54109;20/05/2020;ANDINA
4;NORTE DE SANTANDER;Sardinata;54720;20/05/2020;ANDINA
4;CUNDINAMARCA;Jerusalén;25368;20/05/2020;ANDINA
4;CUNDINAMARCA;Pulí;25580;20/05/2020;ANDINA
4;BOYACÁ;Samacá;15646;20/05/2020;ANDINA
4;BOYACÁ;Cucaita;15224;20/05/2020;ANDINA
4;BOYACÁ;Sáchica;15638;20/05/2020;ANDINA
4;BOYACÁ;Sora;15762;20/05/2020;ANDINA
4;BOYACÁ;Iza;15362;20/05/2020;ANDINA
4;BOYACÁ;Firavitoba;15272;20/05/2020;ANDINA
4;BOYACÁ;Sogamoso;15759;20/05/2020;ANDINA
3;TOLIMA;Guamo;73319;20/05/2020;ANDINA
3;TOLIMA;Espinal;73268;20/05/2020;ANDINA
3;TOLIMA;Valle De San Juan;73854;20/05/2020;ANDINA
3;TOLIMA;San Luis;73678;20/05/2020;ANDINA
3;TOLIMA;Flandes;73275;20/05/2020;ANDINA
3;TOLIMA;Coello;73200;20/05/2020;ANDINA
3;TOLIMA;Piedras;73547;20/05/2020;ANDINA
3;NORTE DE SANTANDER;Herrán;54347;20/05/2020;ANDINA
3;NORTE DE SANTANDER;Pamplonita;54520;20/05/2020;ANDINA
3;NORTE DE SANTANDER;Santiago;54680;20/05/2020;ANDINA
3;NORTE DE SANTANDER;Gramalote;54313;20/05/2020;ANDINA
3;LA GUAJIRA;Maicao;44430;20/05/2020;CARIBE
3;LA GUAJIRA;Albania;44035;20/05/2020;CARIBE
3;LA GUAJIRA;Riohacha;44001;20/05/2020;CARIBE
3;LA GUAJIRA;Manaure;44560;20/05/2020;CARIBE
3;LA GUAJIRA;Uribia;44847;20/05/2020;CARIBE
3;HUILA;Campoalegre;41132;20/05/2020;ANDINA
3;HUILA;Yaguará;41885;20/05/2020;ANDINA
3;HUILA;Rivera;41615;20/05/2020;ANDINA
3;HUILA;Palermo;41524;20/05/2020;ANDINA
3;HUILA;Baraya;41078;20/05/2020;ANDINA
3;HUILA;Tello;41799;20/05/2020;ANDINA
3;HUILA;Villavieja;41872;20/05/2020;ANDINA
3;CUNDINAMARCA;Girardot;25307;20/05/2020;ANDINA
3;CUNDINAMARCA;Nariño;25483;20/05/2020;ANDINA
3;CUNDINAMARCA;Guataquí;25324;20/05/2020;ANDINA
3;BOYACÁ;Ráquira;15600;20/05/2020;ANDINA
3;BOYACÁ;Tunja;15001;20/05/2020;ANDINA
3;BOYACÁ;Cuítiva;15226;20/05/2020;ANDINA
3;BOYACÁ;Cómbita;15204;20/05/2020;ANDINA
3;BOYACÁ;Motavita;15476;20/05/2020;ANDINA
3;BOYACÁ;Chíquiza;15232;20/05/2020;ANDINA
3;BOYACÁ;Villa De Leiva;15407;20/05/2020;ANDINA
3;BOYACÁ;Monguí;15466;20/05/2020;ANDINA
3;BOYACÁ;Paipa;15516;20/05/2020;ANDINA
3;BOYACÁ;Nobsa;15491;20/05/2020;ANDINA
3;BOYACÁ;Tibasosa;15806;20/05/2020;ANDINA
3;BOYACÁ;Duitama;15238;20/05/2020;ANDINA
3;BOYACÁ;Busbanzá;15114;20/05/2020;ANDINA
3;BOYACÁ;Floresta;15276;20/05/2020;ANDINA
3;BOYACÁ;Santa Rosa De Viterbo;15693;20/05/2020;ANDINA
3;ATLÁNTICO;Barranquilla;8001;20/05/2020;CARIBE
5;BOYACÁ;Soatá;15753;20/05/2020;ANDINA
